feature,importance,percentage,cumulative_percentage,category
MinInterTeamDist,3.397156946977365e-05,0.0033971569469773656,99.99532042473871,Spatial
FrontlineOverlap,2.4970987556279526e-05,0.002497098755627953,99.99781752349433,Spatial
CentroidDist,1.0955995372063159e-05,0.001095599537206316,99.99891312303154,Spatial
RadialVelocityDiff,1.0868769684630575e-05,0.0010868769684630577,100.0,Spatial
