feature,importance
Gold_Frame_19_Forecast,0.5722927344842751
Gold_Frame_13_Actual,0.034448176618385506
Gold_Frame_6_Actual,0.03344272797053877
Gold_Frame_7_Actual,0.03078350068835592
Gold_Frame_5_Actual,0.029888441973599467
Gold_Frame_2_Actual,0.02860145940621497
Gold_Frame_3_Actual,0.028417348954129503
Gold_Frame_8_Actual,0.02829596890866342
Gold_Frame_4_Actual,0.028217291417045293
Gold_Frame_11_Actual,0.027989207298079077
Gold_Frame_10_Actual,0.027693388044072238
Gold_Frame_12_Actual,0.02752148385028534
Gold_Frame_9_Actual,0.026052046252318974
Gold_Frame_14_Actual,0.024749361667291723
Gold_Frame_1_Actual,0.013996694913147166
Gold_Frame_18_Forecast,0.012325688637789291
Gold_Frame_17_Forecast,0.009924179598018541
Gold_Frame_15_Forecast,0.00904615480883232
Gold_Frame_16_Forecast,0.006314144508957352
Gold_Frame_0_Actual,0.0
