feature,importance
Gold_Frame_24_Forecast,0.5701399947657245
Gold_Frame_13_Actual,0.02966396040093874
Gold_Frame_12_Actual,0.028307598264378942
Gold_Frame_7_Actual,0.02820219523601619
Gold_Frame_8_Actual,0.027134944545432218
Gold_Frame_4_Actual,0.026384481820632875
Gold_Frame_10_Actual,0.02628141723363785
Gold_Frame_6_Actual,0.02607319031553924
Gold_Frame_14_Actual,0.025828921932288227
Gold_Frame_3_Actual,0.024985652895569387
Gold_Frame_5_Actual,0.023740729812623453
Gold_Frame_11_Actual,0.023511592681184655
Gold_Frame_2_Actual,0.02224118118560488
Gold_Frame_9_Actual,0.021986613704649296
Gold_Frame_23_Forecast,0.012621722877991256
Gold_Frame_1_Actual,0.012042880181012771
Gold_Frame_21_Forecast,0.011006949324705376
Gold_Frame_20_Forecast,0.009935495192798223
Gold_Frame_19_Forecast,0.009470204703164004
Gold_Frame_15_Forecast,0.009166260538218608
Gold_Frame_17_Forecast,0.008566753425559024
Gold_Frame_18_Forecast,0.008525645464695064
Gold_Frame_22_Forecast,0.007454444431909237
Gold_Frame_16_Forecast,0.006727169065725977
Gold_Frame_0_Actual,0.0
